Step Temperature Density Enthalpy
0 5400.0000000000045475 6.0817303562693636465 -20322.466932892049954
50 2232.9473850159579342 6.0364874755200848 -17992.080217370941682
100 2207.3987941876775949 5.9181099379537345229 -19338.148508549093094
150 2277.1265222552442538 5.8149979114908143529 -20560.035897223991924
200 2320.6782537249591769 5.7396281042500199021 -21480.040697502816329
250 2371.3801536180280891 5.6778467633704767792 -22229.394100315868855
300 2312.4228237090446783 5.6305188972451620799 -22689.583573035739391
350 2305.1424145164123729 5.5987758991613381099 -23010.955740497243823
400 2281.8625457434591226 5.581107691628121259 -23106.366882841990446
450 2317.4807779877210123 5.5742752191887054991 -23271.098255660497671
500 2328.1562999401076013 5.5765234887749812742 -23245.565580744565523
550 2320.4508277732334136 5.5852485376417480012 -23122.696749034828827
600 2303.8402513326814187 5.597250472123205256 -22957.435385993667296
650 2319.2773309227773098 5.6094040300990375414 -22848.492322439062264
700 2322.0959232159489147 5.6197432146701071787 -22765.515970613618265
750 2336.0395500888666902 5.6273243184820307405 -22681.587722690095688
800 2312.8370329753838632 5.6314006982765345555 -22613.619909599743551
850 2313.2634227952044057 5.6320220416258122142 -22630.489217776157602
900 2339.0443219111625694 5.6298012406417328179 -22650.719037759608909
950 2338.2765707646458395 5.6256174163984367098 -22724.10784786136719
1000 2321.2471138933969996 5.6210236916051572464 -22749.716311684838729
1050 2309.2066131672772826 5.6166527289253727062 -22789.761724520103598
1100 2323.8095540062695363 5.612970365207150536 -22879.520734658308356
1150 2337.2548515994280933 5.6107365752472508902 -22850.578263769773912
1200 2324.3961488728455151 5.6096085248182960825 -22844.55088329512364
1250 2304.4132601039050314 5.6093988769586857757 -22855.675013298030535
1300 2321.2454632340873104 5.6102453821293414293 -22899.626976183819352
1350 2373.727879874978953 5.612685367901706357 -22924.806062515937811
1400 2336.7443283310781226 5.6163588036839113826 -22781.553083006139786
1450 2288.5487386525792317 5.6195318662446842595 -22701.40837161802483
1500 2285.5639354973086483 5.6215390561849938322 -22676.843670317790384
1550 2360.4080483191205531 5.6217215056631504311 -22800.358058310030174
1600 2290.7257559595618659 5.6209017464289905419 -22717.184991555172019
1650 2356.1504067114674399 5.6186620262643991452 -22764.151370550011052
1700 2330.3012128966147429 5.6157464023910277362 -22790.098091476629634
1750 2357.3255223302057857 5.6127581268574706641 -22843.445632683356962
1800 2324.2996471080596166 5.6102830267152672405 -22813.596880556608085
1850 2314.9986604645646366 5.6081372045074813215 -22842.324228452587704
1900 2314.7880525927698727 5.6067143594703177101 -22843.885590156682156
1950 2329.6855225272620373 5.6061846255622391766 -22883.765955718008627
2000 2317.2516366642171306 5.6067967230266937406 -22889.366981599556311
2050 2318.3331380109962083 5.6086845368917508381 -22848.62511829763389
2100 2310.8851672668502033 5.6115555246517869747 -22840.936908691379358
2150 2308.8427372721735082 5.6150711139924354143 -22814.896900639021624
2200 2343.7748353166130073 5.6186168663209867802 -22735.061545678356197
2250 2313.4187204175891566 5.6210479073536250283 -22705.947580787797051
2300 2368.3271485643754204 5.6221323392355166959 -22765.16934514382956
2350 2312.418458060566536 5.6222406322148934521 -22720.609111146739451
2400 2310.354192109043197 5.6207705827852043612 -22719.264613976443798
2450 2316.7449441002513595 5.6177629570752554145 -22762.780659337378893
2500 2312.6660319321690622 5.6137707967260874753 -22833.379129798991926
2550 2325.6203565410692136 5.6098851126204509754 -22879.942519946227549
2600 2302.0460048122154149 5.6070348774472869025 -22826.83040019555483
2650 2322.6842930410616646 5.6052728699653417976 -22898.722281785874657
2700 2337.8085999085528783 5.6052261666991656242 -22907.708229362149723
2750 2283.024320123981397 5.6068165609688191964 -22822.321289905881713
2800 2289.1928766128630741 5.6096448391718451987 -22827.734088237932156
2850 2334.0362964550477045 5.6136577827074090052 -22830.345876661969669
2900 2333.5807013675521375 5.6186233785970358667 -22764.359775471028115
2950 2353.8077689364254184 5.6236759372170208593 -22744.610287678413442
3000 2305.4838880502211396 5.6278209261073408598 -22614.600744191520789
3050 2319.0008216144378821 5.6296083145356989874 -22644.396038331946329
3100 2324.2882296655516257 5.6289929934293576608 -22664.632733072576229
3150 2328.6377656431186551 5.625719378823172967 -22679.573501188438968
3200 2342.2185463668615739 5.6196974333112121869 -22740.236017322880798
3250 2329.3195620785350002 5.6116300491980943832 -22811.987932637646736
3300 2295.5290836253229827 5.6029042941457589677 -22938.757286063970241
3350 2300.4856814530799056 5.5953902927393572853 -23066.421829532584525
3400 2291.323393472058342 5.5912286013868790491 -23107.386177254935319
3450 2280.3095216320839427 5.5920507285476794834 -23003.920414337262628
3500 2322.7585374748778122 5.5976844805820817896 -23015.656537278537144
3550 2282.5959633554834909 5.6083006467162510589 -22872.278854480078735
3600 2344.329054053649088 5.6221669577737998225 -22750.766420756030129
3650 2311.3632659281188353 5.6368560362713449052 -22556.664304862701101
3700 2356.1948476478119119 5.6492998065961268495 -22497.947817869084247
3750 2344.5286954571265596 5.6570373502288004985 -22360.085891764352709
3800 2385.050884319121451 5.6574402134948069687 -22409.737851308211248
3850 2327.2847393069632744 5.6497806971111490526 -22450.593994895436481
3900 2306.2578150844692573 5.6342989998138879315 -22622.070543113564781
3950 2298.8964532658528697 5.6136503741340604279 -22815.656351999881736
4000 2303.1333677470402108 5.5914434040113372149 -23097.213989455067349
4050 2268.8031630151117497 5.5725546981535503122 -23241.272260944737354
4100 2300.0000371751507373 5.5607820957766627146 -23386.12325175382648
4150 2258.4634368216707117 5.5589876658606014459 -23388.165676139367861
4200 2291.6060633609863544 5.5679841472199589347 -23270.144772407216806
4250 2359.7092283382057758 5.5865036111875276958 -23145.031366774768685
